time,ue,rnti,h_id,mcs,tbs,nrtx,rv,type
2025-12-05 21:24:01.443917,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.444396,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.444845,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.445456,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.445954,0,0x4601,4,27,2817,0,0,PDSCH
2025-12-05 21:24:01.447474,0,0x4601,0,27,3521,0,0,PDSCH
2025-12-05 21:24:01.447964,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.448419,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.448913,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.449358,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.449941,0,0x4601,2,27,2112,0,0,PDSCH
2025-12-05 21:24:01.452418,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.452901,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.453370,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.453948,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.454400,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.454908,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.455385,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.455959,0,0x4601,5,27,2817,0,0,PDSCH
2025-12-05 21:24:01.457390,0,0x4601,2,27,3521,0,0,PDSCH
2025-12-05 21:24:01.457902,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.458450,0,0x4601,11,24,5252,0,0,PDSCH
2025-12-05 21:24:01.458910,0,0x4601,9,24,5252,0,0,PDSCH
2025-12-05 21:24:01.459383,0,0x4601,10,24,5252,0,0,PDSCH
2025-12-05 21:24:01.459824,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.460442,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.460955,0,0x4601,6,27,2817,0,0,PDSCH
2025-12-05 21:24:01.462482,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.462947,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.463409,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.463912,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.464436,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.464905,0,0x4601,3,27,5889,0,0,PDSCH
